amm_number,product_name,manufacturer,submission_date,approval_date,clinical_trial_participants,reported_side_effects,batch_size,price_per_unit,production_cost,is_fraud,approval_time,price_to_cost_ratio,batch_size_variation,fast_approval,manufacturer_BioPharm Solutions,manufacturer_CureAll,manufacturer_HealthGen,manufacturer_MediVita,manufacturer_PharmaCorp
AMM-2023-107,QuickHeal,BioPharm Solutions,2023-04-01,2023-09-13,1489,73,200000,40.97,8.44,0,165,4.854265402843602,2.0,0,True,False,False,False,False
AMM-2023-108,PainAway,BioPharm Solutions,2023-05-21,2023-08-03,591,14,100000,63.27,8.81,0,74,7.18161180476731,1.0,0,True,False,False,False,False
AMM-2023-109,MediSafeX,BioPharm Solutions,2023-03-08,2023-09-03,391,20,50000,66.39,11.12,0,179,5.970323741007195,0.5,0,True,False,False,False,False
AMM-2023-110,MediSafeX,PharmaCorp,2023-01-20,2023-02-07,979,66,200000,38.48,5.47,1,18,7.034734917733089,2.0,1,False,False,False,False,True
AMM-2023-111,CardioPlus,CureAll,2023-02-28,2023-07-21,369,9,50000,36.96,7.69,0,143,4.806241872561769,0.5,0,False,True,False,False,False
AMM-2023-112,QuickHeal,PharmaCorp,2023-03-17,2023-05-25,660,12,150000,57.64,10.02,0,69,5.7524950099800405,1.5,0,False,False,False,False,True
AMM-2023-113,FlexiJoint,BioPharm Solutions,2023-01-23,2023-01-27,1981,11,150000,35.01,10.17,1,4,3.4424778761061945,1.5,1,True,False,False,False,False
AMM-2023-114,FlexiJoint,BioPharm Solutions,2023-06-02,2023-07-01,1363,20,150000,29.04,7.47,1,29,3.887550200803213,1.5,1,True,False,False,False,False
AMM-2023-115,QuickHeal,CureAll,2023-05-01,2023-09-07,1800,33,50000,65.77,10.78,0,129,6.101113172541744,0.5,0,False,True,False,False,False
AMM-2023-116,FlexiJoint,CureAll,2023-03-16,2023-08-15,1105,95,50000,77.06,10.54,0,152,7.311195445920305,0.5,0,False,True,False,False,False
AMM-2023-117,QuickHeal,CureAll,2023-06-22,2023-12-16,1994,169,100000,65.43,8.24,0,177,7.940533980582525,1.0,0,False,True,False,False,False
AMM-2023-118,QuickHeal,PharmaCorp,2023-05-06,2023-08-06,1547,63,200000,27.76,7.54,0,92,3.6816976127320955,2.0,0,False,False,False,False,True
AMM-2023-119,QuickHeal,HealthGen,2023-01-28,2023-05-03,1508,109,100000,85.0,14.13,0,95,6.015569709837226,1.0,0,False,False,True,False,False
AMM-2023-120,FlexiJoint,HealthGen,2023-06-09,2023-08-18,1975,121,200000,53.01,6.69,0,70,7.923766816143497,2.0,0,False,False,True,False,False
AMM-2023-121,CardioPlus,HealthGen,2023-01-20,2023-03-14,308,13,50000,59.92,14.55,0,53,4.118213058419244,0.5,0,False,False,True,False,False
AMM-2023-122,FlexiJoint,PharmaCorp,2023-05-28,2023-08-11,1119,85,50000,20.29,6.37,0,75,3.1852433281004706,0.5,0,False,False,False,False,True
AMM-2023-123,PainAway,MediVita,2023-01-07,2023-01-14,1184,100,150000,65.07,13.71,1,7,4.74617067833698,1.5,1,False,False,False,True,False
AMM-2023-124,FlexiJoint,MediVita,2023-02-21,2023-04-30,742,44,200000,56.61,9.82,0,68,5.7647657841140525,2.0,0,False,False,False,True,False
AMM-2023-125,QuickHeal,BioPharm Solutions,2023-06-30,2023-10-01,979,23,50000,41.27,7.16,0,93,5.7639664804469275,0.5,0,True,False,False,False,False
AMM-2023-126,CardioPlus,BioPharm Solutions,2023-06-11,2023-11-30,1639,141,100000,19.28,5.61,0,172,3.4367201426024954,1.0,0,True,False,False,False,False
AMM-2023-127,MediSafeX,MediVita,2023-04-15,2023-09-08,1476,145,100000,77.31,10.08,0,146,7.669642857142858,1.0,0,False,False,False,True,False
AMM-2023-128,CardioPlus,MediVita,2023-01-27,2023-07-04,1086,23,50000,42.3,9.99,0,158,4.234234234234234,0.5,0,False,False,False,True,False
AMM-2023-129,CardioPlus,CureAll,2023-01-29,2023-03-17,1986,9,100000,98.38,13.5,0,47,7.287407407407407,1.0,0,False,True,False,False,False
AMM-2023-130,MediSafeX,BioPharm Solutions,2023-05-28,2023-09-13,996,15,150000,25.95,6.42,0,108,4.042056074766355,1.5,0,True,False,False,False,False
AMM-2023-131,MediSafeX,BioPharm Solutions,2023-05-01,2023-09-16,1565,63,200000,180.01,11.73,1,138,15.346121057118498,2.0,0,True,False,False,False,False
AMM-2023-132,MediSafeX,CureAll,2023-04-04,2023-05-01,1587,93,100000,91.71,13.42,1,27,6.833830104321907,1.0,1,False,True,False,False,False
AMM-2023-133,QuickHeal,BioPharm Solutions,2023-01-26,2023-04-21,1858,67,200000,29.36,8.58,0,85,3.421911421911422,2.0,0,True,False,False,False,False
AMM-2023-134,FlexiJoint,CureAll,2023-01-25,2023-03-22,1917,180,100000,48.05,12.29,0,56,3.9096826688364525,1.0,0,False,True,False,False,False
AMM-2023-135,PainAway,CureAll,2023-05-29,2023-11-06,923,23,50000,42.54,5.49,0,161,7.74863387978142,0.5,0,False,True,False,False,False
AMM-2023-136,FlexiJoint,MediVita,2023-03-20,2023-06-25,427,42,50000,43.48,12.56,0,97,3.4617834394904454,0.5,0,False,False,False,True,False
AMM-2023-137,FlexiJoint,CureAll,2023-02-06,2023-02-08,1950,184,150000,100.15,14.31,1,2,6.998602375960867,1.5,1,False,True,False,False,False
AMM-2023-138,CardioPlus,PharmaCorp,2023-06-23,2023-11-19,1341,53,50000,59.6,7.46,0,149,7.989276139410188,0.5,0,False,False,False,False,True
AMM-2023-139,MediSafeX,BioPharm Solutions,2023-01-31,2023-02-02,1411,86,200000,42.84,7.8,1,2,5.492307692307693,2.0,1,True,False,False,False,False
AMM-2023-140,FlexiJoint,PharmaCorp,2023-06-25,2023-09-19,465,37,100000,88.05,14.67,0,86,6.002044989775051,1.0,0,False,False,False,False,True
AMM-2023-141,QuickHeal,HealthGen,2023-05-20,2023-05-24,1662,112,150000,43.94,7.45,1,4,5.897986577181207,1.5,1,False,False,True,False,False
AMM-2023-142,FlexiJoint,MediVita,2023-04-07,2023-09-20,469,28,150000,55.9,7.74,0,166,7.222222222222221,1.5,0,False,False,False,True,False
AMM-2023-143,FlexiJoint,BioPharm Solutions,2023-06-06,2023-10-30,1688,160,200000,35.01,8.62,0,146,4.061484918793504,2.0,0,True,False,False,False,False
AMM-2023-144,PainAway,PharmaCorp,2023-01-29,2023-07-19,398,37,50000,37.35,9.06,0,171,4.122516556291391,0.5,0,False,False,False,False,True
AMM-2023-145,PainAway,MediVita,2023-06-05,2023-08-08,1961,154,100000,45.83,5.97,0,64,7.676716917922948,1.0,0,False,False,False,True,False
AMM-2023-146,QuickHeal,HealthGen,2023-03-19,2023-08-05,959,93,200000,73.18,11.59,0,139,6.314063848144953,2.0,0,False,False,True,False,False
AMM-2023-147,QuickHeal,PharmaCorp,2023-06-21,2023-10-06,664,46,100000,57.61,14.74,0,107,3.9084124830393487,1.0,0,False,False,False,False,True
AMM-2023-148,CardioPlus,BioPharm Solutions,2023-02-21,2023-07-26,881,82,50000,42.67,11.38,0,155,3.7495606326889277,0.5,0,True,False,False,False,False
AMM-2023-149,MediSafeX,BioPharm Solutions,2023-03-28,2023-06-01,1092,36,100000,41.8,12.66,0,65,3.3017377567140596,1.0,0,True,False,False,False,False
AMM-2023-150,FlexiJoint,PharmaCorp,2023-04-13,2023-04-14,1017,77,100000,41.84,7.52,1,1,5.563829787234043,1.0,1,False,False,False,False,True
AMM-2023-151,MediSafeX,MediVita,2023-05-11,2023-06-11,917,7,200000,85.85,12.53,0,31,6.851556264964086,2.0,0,False,False,False,True,False
AMM-2023-152,QuickHeal,PharmaCorp,2023-02-28,2023-08-21,1263,103,150000,61.12,12.73,0,174,4.801256873527101,1.5,0,False,False,False,False,True
AMM-2023-153,MediSafeX,CureAll,2023-03-27,2023-05-12,973,45,200000,71.37,11.28,0,46,6.327127659574469,2.0,0,False,True,False,False,False
AMM-2023-154,PainAway,BioPharm Solutions,2023-04-21,2023-08-23,955,80,100000,76.44,11.33,0,124,6.746690203000882,1.0,0,True,False,False,False,False
AMM-2023-155,QuickHeal,HealthGen,2023-02-04,2023-08-01,1379,36,50000,35.56,6.31,0,178,5.635499207606974,0.5,0,False,False,True,False,False
AMM-2023-156,FlexiJoint,PharmaCorp,2023-05-19,2023-11-14,1902,54,150000,34.53,6.16,0,179,5.60551948051948,1.5,0,False,False,False,False,True
AMM-2023-157,PainAway,MediVita,2023-01-03,2023-06-11,489,34,150000,273.47,11.29,1,159,24.222320637732512,1.5,0,False,False,False,True,False
AMM-2023-158,CardioPlus,MediVita,2023-02-05,2023-05-09,1275,72,100000,42.77,7.33,0,93,5.834924965893588,1.0,0,False,False,False,True,False
AMM-2023-159,MediSafeX,PharmaCorp,2023-04-22,2023-06-19,516,48,200000,62.36,13.51,0,58,4.615840118430792,2.0,0,False,False,False,False,True
AMM-2023-160,CardioPlus,BioPharm Solutions,2023-02-19,2023-06-22,439,11,100000,52.13,8.23,0,123,6.334143377885784,1.0,0,True,False,False,False,False
AMM-2023-161,QuickHeal,HealthGen,2023-05-08,2023-06-30,1405,15,150000,61.34,9.12,0,53,6.725877192982457,1.5,0,False,False,True,False,False
AMM-2023-162,QuickHeal,MediVita,2023-05-07,2023-09-04,837,25,150000,37.98,10.15,0,120,3.7418719211822657,1.5,0,False,False,False,True,False
AMM-2023-163,CardioPlus,BioPharm Solutions,2023-04-17,2023-07-19,1706,8,100000,68.98,14.72,0,93,4.686141304347826,1.0,0,True,False,False,False,False
AMM-2023-164,CardioPlus,HealthGen,2023-01-25,2023-06-29,468,37,50000,77.82,11.35,0,155,6.856387665198238,0.5,0,False,False,True,False,False
AMM-2023-165,PainAway,HealthGen,2023-05-05,2023-09-12,1190,24,100000,152.11,9.03,1,130,16.84496124031008,1.0,0,False,False,True,False,False
AMM-2023-166,FlexiJoint,BioPharm Solutions,2023-01-06,2023-05-20,1609,37,200000,56.92,9.38,0,134,6.068230277185501,2.0,0,True,False,False,False,False
AMM-2023-167,MediSafeX,BioPharm Solutions,2023-01-02,2023-07-01,1367,123,50000,52.86,9.96,0,180,5.30722891566265,0.5,0,True,False,False,False,False
AMM-2023-168,FlexiJoint,BioPharm Solutions,2023-05-26,2023-08-30,346,9,200000,72.28,13.02,0,96,5.551459293394777,2.0,0,True,False,False,False,False
AMM-2023-169,MediSafeX,PharmaCorp,2023-01-17,2023-02-01,1989,95,100000,83.63,14.6,1,15,5.728082191780822,1.0,1,False,False,False,False,True
AMM-2023-170,PainAway,PharmaCorp,2023-05-24,2023-10-14,1266,97,50000,59.91,8.1,0,143,7.396296296296296,0.5,0,False,False,False,False,True
